aeropuerto,nacionalidad,residente,continentes,meses,cantidad,meses_numero,year,fecha,id_aeropuerto,id_continentes
Puerto plata,Taiwan,NO RESIDENTES,Asia,Enero,0,1,2015,2015-01-01,4,4
Puerto plata,Otros,NO RESIDENTES,Asia,Enero,20,1,2015,2015-01-01,4,4
Puerto plata,Alemania,NO RESIDENTES,Europa,Enero,6312,1,2015,2015-01-01,4,5
Puerto plata,Austria,NO RESIDENTES,Europa,Enero,90,1,2015,2015-01-01,4,5
Puerto plata,Bélgica,NO RESIDENTES,Europa,Enero,30,1,2015,2015-01-01,4,5
Puerto plata,Bulgaria,NO RESIDENTES,Europa,Enero,0,1,2015,2015-01-01,4,5
Puerto plata,Dinamarca,NO RESIDENTES,Europa,Enero,225,1,2015,2015-01-01,4,5
Puerto plata,Escocia,NO RESIDENTES,Europa,Enero,0,1,2015,2015-01-01,4,5
Puerto plata,España,NO RESIDENTES,Europa,Enero,10,1,2015,2015-01-01,4,5
Puerto plata,Finlandia,NO RESIDENTES,Europa,Enero,1281,1,2015,2015-01-01,4,5
Puerto plata,Francia,NO RESIDENTES,Europa,Enero,1482,1,2015,2015-01-01,4,5
Puerto plata,Grecia,NO RESIDENTES,Europa,Enero,5,1,2015,2015-01-01,4,5
Puerto plata,Holanda,NO RESIDENTES,Europa,Enero,480,1,2015,2015-01-01,4,5
Puerto plata,Hungría,NO RESIDENTES,Europa,Enero,10,1,2015,2015-01-01,4,5
Puerto plata,Inglaterra,NO RESIDENTES,Europa,Enero,2123,1,2015,2015-01-01,4,5
Puerto plata,Irlanda,NO RESIDENTES,Europa,Enero,5,1,2015,2015-01-01,4,5
Puerto plata,Italia,NO RESIDENTES,Europa,Enero,240,1,2015,2015-01-01,4,5
Puerto plata,Luxemburgo,NO RESIDENTES,Europa,Enero,0,1,2015,2015-01-01,4,5
Puerto plata,Noruega,NO RESIDENTES,Europa,Enero,210,1,2015,2015-01-01,4,5
Puerto plata,Polonia,NO RESIDENTES,Europa,Enero,110,1,2015,2015-01-01,4,5
Puerto plata,Portugal,NO RESIDENTES,Europa,Enero,30,1,2015,2015-01-01,4,5
Puerto plata,República Checa,NO RESIDENTES,Europa,Enero,165,1,2015,2015-01-01,4,5
Puerto plata,Rumania,NO RESIDENTES,Europa,Enero,10,1,2015,2015-01-01,4,5
Puerto plata,Rusia,NO RESIDENTES,Europa,Enero,135,1,2015,2015-01-01,4,5
Puerto plata,Suecia,NO RESIDENTES,Europa,Enero,2998,1,2015,2015-01-01,4,5
Puerto plata,Suiza,NO RESIDENTES,Europa,Enero,185,1,2015,2015-01-01,4,5
Puerto plata,Ucrania,NO RESIDENTES,Europa,Enero,25,1,2015,2015-01-01,4,5
Puerto plata,Otros,NO RESIDENTES,Europa,Enero,60,1,2015,2015-01-01,4,5
Puerto plata,Australia,NO RESIDENTES,Resto del mundo,Enero,240,1,2015,2015-01-01,4,6
Puerto plata,Otros,NO RESIDENTES,Resto del mundo,Enero,10,1,2015,2015-01-01,4,6
Punta cana,Republica Dominicana,NO RESIDENTES,America central y el caribe,Enero,714,1,2015,2015-01-01,5,1
Punta cana,Canadá,NO RESIDENTES,America del norte,Enero,75560,1,2015,2015-01-01,5,2
Punta cana,Estados Unidos,NO RESIDENTES,America del norte,Enero,92852,1,2015,2015-01-01,5,2
Punta cana,México,NO RESIDENTES,America del norte,Enero,953,1,2015,2015-01-01,5,2
Punta cana,Aruba,NO RESIDENTES,America central y el caribe,Enero,0,1,2015,2015-01-01,5,1
Punta cana,"Caicos y Turcas, Islas",NO RESIDENTES,America central y el caribe,Enero,0,1,2015,2015-01-01,5,1
Punta cana,Costa Rica,NO RESIDENTES,America central y el caribe,Enero,140,1,2015,2015-01-01,5,1
Punta cana,Cuba,NO RESIDENTES,America central y el caribe,Enero,5,1,2015,2015-01-01,5,1
