"aeropuerto","nacionalidad","total","enero","febrero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre"
NA,NA,NA,"ENE.","FEB.","MAR.","ABR.","MAY.","JUN.","JUL.","AGO.","SEP.","OCT.","NOV.","DIC."
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"México","26456","1612","1625","2300","2248","2265","2129","2908","2367","2137","2399","2190","2276"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA CENTRAL Y EL CARIBE","110104","7056","7812","8820","8652","9436","10557","10839","8590","7830","9609","9598","11305"
NA,"Aruba","613","12","32","28","28","68","60","184","16","28","56","16","85"
NA,"Caicos y Turcas, Islas","236","0","20","12","4","4","12","36","24","28","16","44","36"
NA,"Costa Rica","8746","675","584","752","760","725","796","716","603","660","799","847","829"
NA,"Cuba","21234","1646","1813","1876","1892","2020","1853","1820","1611","1668","1690","1565","1780"
NA,"Curazao","1391","52","68","20","92","80","140","300","140","109","100","64","226"
NA,"El Salvador","3382","144","284","320","256","274","496","256","294","243","280","312","223"
NA,"Guadalupe","208","12","4","24","12","8","8","32","8","16","12","16","56"
NA,"Guatemala","5760","401","400","608","616","418","504","500","522","356","503","563","369"
NA,"Haití","7667","386","464","704","484","567","580","776","655","612","627","599","1213"
NA,"Honduras","3273","254","172","384","388","222","288","360","176","231","308","304","186"
NA,"Jamaica","2464","143","160","188","228","230","212","240","196","137","232","272","226"
NA,"Martinica","100","4","8","0","8","0","0","16","12","16","0","16","20"
NA,"Panamá","9208","773","790","720","628","792","692","1004","743","482","843","783","958"
NA,"Puerto  Rico","37524","1964","2449","2416","2524","3372","4080","3723","2830","2770","3427","3661","4308"
NA,"San Martin","1206","64","32","132","80","64","140","164","128","113","116","16","157"
NA,"Trinidad y Tobago","1437","68","124","108","84","108","192","180","160","84","104","104","121"
NA,"Virgenes Americanas, Islas","64","4","0","12","12","4","0","4","16","8","0","0","4"
NA,"Otros","5591","454","408","516","556","480","504","528","456","269","496","416","508"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA DEL SUR","172868","15602","13513","14824","14687","17685","14844","14849","13350","12431","13453","13311","14319"
NA,"Argentina","18825","2317","1497","1632","1832","2876","1965","1624","811","951","1112","1204","1004"
NA,"Bolivia","1143","151","56","76","100","88","108","88","88","44","104","152","88"
NA,"Brasil","11709","1393","934","1144","1232","1022","772","1052","833","778","991","927","631"
NA,"Chile","15663","1102","1594","852","1020","2749","1414","1556","1274","1017","1474","787","824"
NA,"Colombia","26792","2191","1577","2420","2228","2177","2553","2084","2146","2199","2356","2384","2477"
NA,"Ecuador","5016","381","348","468","460","487","328","508","358","352","518","380","428"
NA,"Perú","5494","535","448","500","484","451","340","460","382","462","442","518","472"
NA,"Uruguay","3213","238","216","268","296","527","528","248","176","134","176","196","210"
NA,"Venezuela","83445","7190","6775","7256","6883","7152","6700","7085","7150","6390","6136","6591","8137"
NA,"Otros","1568","104","68","208","152","156","136","144","132","104","144","172","48"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ASIA","16372","1537","1504","1848","1224","1245","1052","1472","1118","1037","1048","1903","1384"
NA,"China","4722","266","248","456","348","491","364","476","382","388","336","627","340"
NA,"Corea del Sur","2035","195","124","220","180","96","140","216","156","175","156","228","149"
NA,"India","2374","238","280","252","132","177","124","188","168","125","172","296","222"
NA,"Israel","1305","124","140","212","112","68","72","92","84","64","60","164","113"
NA,"Japón","1631","128","120","164","108","104","100","156","108","117","144","200","182"
NA,"Taiwan","380","40","16","84","40","44","24","16","20","28","24","28","16"
NA,"Otros","3925","546","576","460","304","265","228","328","200","140","156","360","362"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"EUROPA","197041","17462","19014","19072","18384","14542","13505","16569","16181","9691","14795","17713","20113"
NA,"Alemania","17292","1144","1481","2272","1560","1870","1023","1296","1036","944","1372","1701","1593"
NA,"Austria","1489","163","180","116","152","120","84","120","92","64","92","160","146"
NA,"Bélgica","5179","365","480","432","536","379","436","768","499","340","301","272","371"
NA,"Bulgaria","348","44","60","36","28","20","8","16","16","32","36","40","12"
NA,"Dinamarca","572","76","92","100","36","16","24","64","20","20","24","48","52"
NA,"Escocia","12","0","0","0","0","0","4","0","0","0","4","0","4"
NA,"España","58133","4614","4513","5372","4273","4141","5644","4781","5186","3624","4933","5066","5986"
NA,"Finlandia","372","60","32","52","28","20","40","16","4","16","28","32","44"
NA,"Francia","48428","4257","6844","4576","6563","4028","2265","3704","4160","1681","3469","3110","3771"
NA,"Grecia","588","72","32","84","52","60","56","28","44","24","12","52","72"
NA,"Holanda","9346","910","396","824","836","623","584","1376","715","482","807","867","926"
NA,"Hungría","228","20","20","32","16","12","4","4","12","8","20","24","56"
NA,"Inglaterra","5489","393","400","624","484","471","376","540","491","315","360","498","537"
NA,"Irlanda","368","20","36","44","44","28","20","24","32","32","24","44","20"
NA,"Italia","28541","3710","2692","2416","2048","1480","1857","2200","2986","1337","1718","2945","3152"
